curve,epsilon,snr_db,n,rate_bits
Shannon capacity,0.001,3,30,0.791341
Shannon capacity,0.001,3,112,0.791341
Shannon capacity,0.001,3,194,0.791341
Shannon capacity,0.001,3,276,0.791341
Shannon capacity,0.001,3,358,0.791341
Shannon capacity,0.001,3,440,0.791341
Shannon capacity,0.001,3,522,0.791341
Shannon capacity,0.001,3,605,0.791341
Shannon capacity,0.001,3,687,0.791341
Shannon capacity,0.001,3,769,0.791341
Shannon capacity,0.001,3,851,0.791341
Shannon capacity,0.001,3,933,0.791341
Shannon capacity,0.001,3,1015,0.791341
Shannon capacity,0.001,3,1097,0.791341
Shannon capacity,0.001,3,1179,0.791341
Shannon capacity,0.001,3,1261,0.791341
Shannon capacity,0.001,3,1343,0.791341
Shannon capacity,0.001,3,1425,0.791341
Shannon capacity,0.001,3,1508,0.791341
Shannon capacity,0.001,3,1590,0.791341
Shannon capacity,0.001,3,1672,0.791341
Shannon capacity,0.001,3,1754,0.791341
Shannon capacity,0.001,3,1836,0.791341
Shannon capacity,0.001,3,1918,0.791341
Shannon capacity,0.001,3,2000,0.791341
NCT converse (ours),0.001,3,30,0.438389
NCT converse (ours),0.001,3,112,0.571775
NCT converse (ours),0.001,3,194,0.615669
NCT converse (ours),0.001,3,276,0.639979
NCT converse (ours),0.001,3,358,0.656068
NCT converse (ours),0.001,3,440,0.667764
NCT converse (ours),0.001,3,522,0.676779
NCT converse (ours),0.001,3,605,0.684091
NCT converse (ours),0.001,3,687,0.690054
NCT converse (ours),0.001,3,769,0.695092
NCT converse (ours),0.001,3,851,0.699425
NCT converse (ours),0.001,3,933,0.703205
NCT converse (ours),0.001,3,1015,0.706542
NCT converse (ours),0.001,3,1097,0.709516
NCT converse (ours),0.001,3,1179,0.712189
NCT converse (ours),0.001,3,1261,0.71461
NCT converse (ours),0.001,3,1343,0.716816
NCT converse (ours),0.001,3,1425,0.718837
NCT converse (ours),0.001,3,1508,0.720721
NCT converse (ours),0.001,3,1590,0.722441
NCT converse (ours),0.001,3,1672,0.724038
NCT converse (ours),0.001,3,1754,0.725526
NCT converse (ours),0.001,3,1836,0.726918
NCT converse (ours),0.001,3,1918,0.728223
NCT converse (ours),0.001,3,2000,0.72945
$\chi^2$ converse (Polyanskiy),0.001,3,30,0.452442
$\chi^2$ converse (Polyanskiy),0.001,3,112,0.575934
$\chi^2$ converse (Polyanskiy),0.001,3,194,0.618137
$\chi^2$ converse (Polyanskiy),0.001,3,276,0.641738
$\chi^2$ converse (Polyanskiy),0.001,3,358,0.657437
$\chi^2$ converse (Polyanskiy),0.001,3,440,0.668885
$\chi^2$ converse (Polyanskiy),0.001,3,522,0.677728
$\chi^2$ converse (Polyanskiy),0.001,3,605,0.684914
$\chi^2$ converse (Polyanskiy),0.001,3,687,0.69078
$\chi^2$ converse (Polyanskiy),0.001,3,769,0.695743
RCU$^+$ achievable (ours),0.001,3,30,0.341329
RCU$^+$ achievable (ours),0.001,3,112,0.554405
RCU$^+$ achievable (ours),0.001,3,194,0.606482
RCU$^+$ achievable (ours),0.001,3,276,0.63378
RCU$^+$ achievable (ours),0.001,3,358,0.651404
RCU$^+$ achievable (ours),0.001,3,440,0.664032
RCU$^+$ achievable (ours),0.001,3,522,0.673671
RCU$^+$ achievable (ours),0.001,3,605,0.681435
RCU$^+$ achievable (ours),0.001,3,687,0.687732
RCU$^+$ achievable (ours),0.001,3,769,0.693031
RCU$^+$ achievable (ours),0.001,3,851,0.697572
RCU$^+$ achievable (ours),0.001,3,933,0.701523
RCU$^+$ achievable (ours),0.001,3,1015,0.705001
RCU$^+$ achievable (ours),0.001,3,1097,0.708095
RCU$^+$ achievable (ours),0.001,3,1179,0.710871
RCU$^+$ achievable (ours),0.001,3,1261,0.713381
RCU$^+$ achievable (ours),0.001,3,1343,0.715665
RCU$^+$ achievable (ours),0.001,3,1425,0.717755
RCU$^+$ achievable (ours),0.001,3,1508,0.7197
RCU$^+$ achievable (ours),0.001,3,1590,0.721474
RCU$^+$ achievable (ours),0.001,3,1672,0.72312
RCU$^+$ achievable (ours),0.001,3,1754,0.724653
RCU$^+$ achievable (ours),0.001,3,1836,0.726085
RCU$^+$ achievable (ours),0.001,3,1918,0.727427
